EmergencyResponseDistrict,Month,90th Percentile Response Time
B01,2021-09,1231.6000000000004
B01,2021-08,1344.7
B01,2021-07,1252.2
B01,2021-06,1157.5
B01,2021-05,1214.4999999999998
B01,2021-04,1088.5
B01,2021-03,1141.7
B01,2021-02,1116.1999999999998
B01,2021-01,1105.5
B01,2020-12,1164.0
B01,2020-11,1035.0
B01,2020-10,1000.0000000000001
B02,2021-09,1224.0
B02,2021-08,1208.1000000000008
B02,2021-07,1136.4
B02,2021-06,1191.7999999999997
B02,2021-05,1107.8000000000002
B02,2021-04,1100.6000000000004
B02,2021-03,1097.7999999999997
B02,2021-02,1107.0
B02,2021-01,1007.7000000000004
B02,2020-12,1093.0
B02,2020-11,1015.0000000000001
B02,2020-10,964.0000000000001
B03,2021-09,1304.6000000000022
B03,2021-08,1301.3000000000002
B03,2021-07,1262.1999999999998
B03,2021-06,1221.4000000000005
B03,2021-05,1205.5
B03,2021-04,1182.2000000000007
B03,2021-03,1169.1999999999998
B03,2021-02,1188.0
B03,2021-01,1139.7000000000003
B03,2020-12,1164.0
B03,2020-11,1122.1
B03,2020-10,1195.1999999999998
B04,2021-09,1327.6
B04,2021-08,1225.8
B04,2021-07,1220.0
B04,2021-06,1227.7
B04,2021-05,1093.4
B04,2021-04,1045.8999999999999
B04,2021-03,1031.0
B04,2021-02,1135.0
B04,2021-01,971.4000000000002
B04,2020-12,1079.4
B04,2020-11,993.0000000000001
B04,2020-10,988.9000000000002
B05,2021-09,1327.9000000000003
B05,2021-08,1268.0
B05,2021-07,1093.400000000001
B05,2021-06,1055.1999999999998
B05,2021-05,1114.8000000000004
B05,2021-04,1072.3000000000004
B05,2021-03,1112.0
B05,2021-02,1087.5
B05,2021-01,1032.0
B05,2020-12,1168.0
B05,2020-11,1011.0000000000001
B05,2020-10,1365.5
B06,2021-09,1259.7999999999997
B06,2021-08,1348.0
B06,2021-07,1284.2000000000003
B06,2021-06,1221.8000000000002
B06,2021-05,1196.2000000000003
B06,2021-04,1081.8000000000002
B06,2021-03,1018.5000000000001
B06,2021-02,1049.6000000000008
B06,2021-01,1017.4000000000002
B06,2020-12,1116.7000000000003
B06,2020-11,1080.0
B06,2020-10,1067.4999999999998
B07,2021-09,1319.4
B07,2021-08,1316.2
B07,2021-07,1224.9
B07,2021-06,1193.1000000000006
B07,2021-05,1186.1999999999998
B07,2021-04,1171.4
B07,2021-03,1135.9000000000003
B07,2021-02,1092.0
B07,2021-01,1102.6999999999998
B07,2020-12,1162.8000000000004
B07,2020-11,1040.6999999999998
B07,2020-10,1091.6000000000001
B08,2021-09,1320.1000000000001
B08,2021-08,1380.6000000000013
B08,2021-07,1416.6000000000008
B08,2021-06,1260.2000000000003
B08,2021-05,1233.0
B08,2021-04,1114.4000000000005
B08,2021-03,1145.0
B08,2021-02,1188.900000000001
B08,2021-01,1170.8
B08,2020-12,1319.9
B08,2020-11,1081.4
B08,2020-10,1173.9999999999995
B09,2021-09,1382.0
B09,2021-08,1323.2000000000007
B09,2021-07,1239.8000000000002
B09,2021-06,1253.7000000000003
B09,2021-05,1096.0
B09,2021-04,1193.0
B09,2021-03,1263.0
B09,2021-02,1210.6000000000008
B09,2021-01,1137.9
B09,2020-12,1224.0
B09,2020-11,1120.0
B09,2020-10,1086.6000000000001
B10,2021-09,1329.0
B10,2021-08,1324.5000000000005
B10,2021-07,1239.1999999999996
B10,2021-06,1264.6
B10,2021-05,1251.000000000002
B10,2021-04,1214.0
B10,2021-03,1197.5
B10,2021-02,1147.8
B10,2021-01,1159.7999999999997
B10,2020-12,1245.8000000000002
B10,2020-11,1196.4
B10,2020-10,1104.6000000000004
B12,2020-11,2542.0
B99,2021-09,1203.0
B99,2021-08,1455.9
B99,2021-07,1467.2000000000003
B99,2021-06,1549.4000000000003
B99,2021-05,1520.6000000000001
B99,2021-04,1485.8000000000004
B99,2021-03,1224.2000000000003
B99,2021-02,1276.6000000000001
B99,2021-01,1106.6000000000001
B99,2020-12,1314.3000000000004
B99,2020-11,997.3000000000002
B99,2020-10,1624.6
